raw_name,canonical_name,entity_type,source_url,matched,startup_name
autodistill,,PRODUCT,https://github.com/autodistill/autodistill,False,autodistill
manga-ocr,,PRODUCT,https://github.com/kha-white/manga-ocr,False,kha-white
SimpleCV,,PRODUCT,https://github.com/sightmachine/SimpleCV,False,sightmachine
CV-CUDA,,PRODUCT,https://github.com/CVCUDA/CV-CUDA,False,CVCUDA
interactive-deep-colorization,,PRODUCT,https://github.com/junyanz/interactive-deep-colorization,False,junyanz
ailearning,,PRODUCT,https://github.com/apachecn/ailearning,False,apachecn
BettaFish,,PRODUCT,https://github.com/666ghj/BettaFish,False,666ghj
bert,,PRODUCT,https://github.com/google-research/bert,False,google-research
HanLP,,PRODUCT,https://github.com/hankcs/HanLP,False,hankcs
storm,,PRODUCT,https://github.com/stanford-oval/storm,False,stanford-oval
nlp-tutorial,,PRODUCT,https://github.com/graykode/nlp-tutorial,False,graykode
compromise,,PRODUCT,https://github.com/spencermountain/compromise,False,spencermountain
allennlp,,PRODUCT,https://github.com/allenai/allennlp,False,allenai
tokenizers,,PRODUCT,https://github.com/huggingface/tokenizers,False,huggingface
text-generation-inference,,PRODUCT,https://github.com/huggingface/text-generation-inference,False,huggingface
presidio,,PRODUCT,https://github.com/data-privacy-stack/presidio,False,data-privacy-stack
stanford-tensorflow-tutorials,,PRODUCT,https://github.com/chiphuyen/stanford-tensorflow-tutorials,False,chiphuyen
Chinese-BERT-wwm,,PRODUCT,https://github.com/ymcui/Chinese-BERT-wwm,False,ymcui
LLMsPracticalGuide,,PRODUCT,https://github.com/Mooler0410/LLMsPracticalGuide,False,Mooler0410
CoreNLP,,PRODUCT,https://github.com/stanfordnlp/CoreNLP,False,stanfordnlp
nlp_chinese_corpus,,PRODUCT,https://github.com/brightmart/nlp_chinese_corpus,False,brightmart
attention-is-all-you-need-pytorch,,PRODUCT,https://github.com/jadore801120/attention-is-all-you-need-pytorch,False,jadore801120
TextBlob,,PRODUCT,https://github.com/sloria/TextBlob,False,sloria
modelscope,,PRODUCT,https://github.com/modelscope/modelscope,False,modelscope
LLM-Agent-Paper-List,,PRODUCT,https://github.com/WooooDyy/LLM-Agent-Paper-List,False,WooooDyy
bertviz,,PRODUCT,https://github.com/jessevig/bertviz,False,jessevig
text_classification,,PRODUCT,https://github.com/brightmart/text_classification,False,brightmart
Awesome-Chinese-NLP,,PRODUCT,https://github.com/crownpku/Awesome-Chinese-NLP,False,crownpku
BERTopic,,PRODUCT,https://github.com/MaartenGr/BERTopic,False,MaartenGr
GPT2-Chinese,,PRODUCT,https://github.com/Morizeyao/GPT2-Chinese,False,Morizeyao
